Model,Accuracy,Precision,F1 Score,ROC-AUC
Random Forest,0.956140350877193,0.958904109589041,0.9655172413793104,0.9938822751322751
Decision Tree,0.9122807017543859,0.9558823529411765,0.9285714285714286,0.9156746031746031
SVM,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9950396825396826
Naive Bayes,0.9298245614035088,0.9444444444444444,0.9444444444444444,0.9867724867724867
KNN,0.956140350877193,0.958904109589041,0.9655172413793104,0.9788359788359788
